Comment,Designator,Footprint,LCSC,Quantity
1.5pF,"C18,C19",C_0402,C1552,2
100kΩ,"R1,R13,R16,R17,R9",R_0402,C25741,5
10kΩ,"R11,R14,R15,R2,R4,R5",R_0402,C25744,6
10uF,"C1,C10,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C11,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C12,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C13,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C14,C15,C2,C20,C21,C3,C4,C5,C6",C_0402,C15525,54
"15nH,300mA",L1,L_0402,C27143,1
2.7nH,L2,L_0402,C77108,1
27pF,"C16,C17",C_0402,C1557,2
"40MHz, 15pF",X1,OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI,C9010,1
47uF,"C7,C8,C9",C_0805,C16780,3
5.1kΩ,"R3,R6,R7",R_0402,C25905,3
510kΩ,"R10,R12",R_0402,C11616,2
510Ω,R8,R_0402,C25123,1
"Connector, USB-TYPE-C-16P",J1,TYPE-C-SMD_HX-TYPE-C-16PIN,C2927039,1
ESP32-C3FH4,U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,C2858491,1
Green,"D1,D10,D9",D_0805,C2297,3
H3V3U10B,D6,D_DFN1006-2L,C20615782,1
HL3415A,Q1,Q_SOT-23,C28646270,1
MM1W5V6,"D4,D5",D_SOD-123,C22435086,2
MMBT3904,Q2,Q_SOT-23,C7420353,1
MMSZ5227B,D3,D_SOD-123,C22395553,1
"Polyfuse, 2A",F1,Fuse_1206_3216Metric,C6165195,1
Red,"D2,D7,D8",D_0805,C84256,3
SN74LV1T34DBV,U3,SOT-23-5,C100024,1
"Tactile Button, 160gf","S1,S2,S3,S4",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884,4
WS2812B,"D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D170,D171,D172,D173,D174,D175,D176,D177,D178,D179,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D190,D191,D192,D193,D194,D195,D196,D197,D198,D199,D200,D201,D202,D203,D204,D205,D206,D207,D208,D209,D210,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D223,D224,D225,D226,D227,D228,D229,D230,D231,D232,D233,D234,D235,D236,D237,D238,D239,D240,D241,D242,D243,D244,D245,D246,D247,D248,D249,D250,D251,D252,D253,D254,D255,D256,D257,D258,D259,D260,D261,D262,D263,D264,D265,D266,D267,D268,D269,D270,D271,D272,D273,D274,D275,D276,D277,D278,D279,D280,D281,D282,D283,D284,D285,D286,D287,D288,D289,D290,D291,D292,D293,D294,D295,D296,D297,D298,D299,D300,D301,D302,D303,D304,D305,D306,D307,D308,D309,D310,D311,D312,D313,D314,D315,D316,D317,D318,D319,D320,D321,D322",LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,C5349954,223
Antenna_Shield,AE1,Inverted_F_Antenna_2.4Ghz_1.0mmPCB_TI_CC2430DB.pretty,,1
RT9080,U1,TSOT-23-5,,1
