Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Shield,Inverted_F_Antenna_2.4Ghz_1.0mmPCB_TI_CC2430DB.pretty,42.925881,-22.315,0.0,top
C1,10uF,C_0402,36.75,-26.75,-90.0,top
C10,10uF,C_0402,17.75,-32.0,0.0,top
C100,10uF,C_0402,49.052481,-80.976566,-90.0,top
C101,10uF,C_0402,52.11952,-98.140766,-100.0,top
C102,10uF,C_0402,57.491699,-110.378239,80.0,top
C103,10uF,C_0402,67.094099,-95.262938,20.0,top
C104,10uF,C_0402,61.61408,-122.250001,90.0,top
C105,10uF,C_0402,72.75,-136.5,-30.0,top
C106,10uF,C_0402,56.25,-144.5,-120.0,top
C107,10uF,C_0402,83.6396,-144.24692,-120.0,top
C108,10uF,C_0402,81.249996,-154.500002,-90.0,top
C109,10uF,C_0402,68.25,-157.25,170.0,top
C11,10uF,C_0402,34.75,-26.75,90.0,top
C110,10uF,C_0402,80.048144,-176.136301,-120.0,top
C111,10uF,C_0402,62.75,-160.5,100.0,top
C112,10uF,C_0402,65.25,-177.231039,150.0,top
C113,10uF,C_0402,41.25,-155.0,-120.0,top
C114,10uF,C_0402,39.75,-169.0,90.0,top
C115,10uF,C_0402,31.0,-164.0,165.0,top
C116,10uF,C_0402,52.5,-181.0,-60.0,top
C117,10uF,C_0402,44.25,-189.0,120.0,top
C118,10uF,C_0402,47.91236,-204.14022,100.0,top
C119,10uF,C_0402,57.5,-181.0,-25.0,top
C12,10uF,C_0402,24.0,-34.5,-90.0,top
C120,10uF,C_0402,56.5,-195.25,-170.0,top
C121,10uF,C_0402,97.25,-177.0,30.0,top
C122,10uF,C_0402,106.888379,-162.784686,-60.0,top
C123,10uF,C_0402,106.75,-186.0,80.0,top
C124,10uF,C_0402,98.32144,-187.912533,-20.0,top
C125,10uF,C_0402,99.5,-200.25,-135.0,top
C126,10uF,C_0402,84.5,-210.5,180.0,top
C127,10uF,C_0402,79.0,-193.0,90.0,top
C128,10uF,C_0402,72.5,-207.75,0.0,top
C129,10uF,C_0402,62.0,-210.5,0.0,top
C13,10uF,C_0402,35.5,-35.5,-90.0,top
C130,10uF,C_0402,81.25,-214.75,-80.0,top
C131,10uF,C_0402,60.5,-215.75,130.0,top
C132,10uF,C_0402,61.25,-221.25,90.0,top
C133,10uF,C_0402,51.75,-224.5,10.0,top
C134,10uF,C_0402,38.75,-220.5,-20.0,top
C135,10uF,C_0402,43.602399,-212.925279,-150.0,top
C136,10uF,C_0402,70.75,-182.75,180.0,top
C137,10uF,C_0402,49.5,-197.0,70.0,top
C138,10uF,C_0402,33.0,-199.75,-45.0,top
C139,10uF,C_0402,41.150433,-200.745847,25.0,top
C14,10uF,C_0402,30.5,-35.5,90.0,top
C15,10uF,C_0402,23.0,-34.5,90.0,top
C16,27pF,C_0402,44.745881,-33.5,90.0,top
C17,27pF,C_0402,42.245881,-29.25,0.0,top
C18,1.5pF,C_0402,38.995881,-27.75,0.0,top
C19,1.5pF,C_0402,38.995881,-24.75,0.0,top
C2,10uF,C_0402,31.25,-30.25,0.0,top
C20,10uF,C_0402,26.0,-32.0,90.0,top
C21,10uF,C_0402,26.0,-34.5,-90.0,top
C3,10uF,C_0402,34.5,-35.5,90.0,top
C4,10uF,C_0402,39.995881,-29.5,180.0,top
C5,10uF,C_0402,22.0,-34.5,-90.0,top
C6,10uF,C_0402,23.0,-32.0,-90.0,top
C7,47uF,C_0805,23.5,-28.95,90.0,top
C8,47uF,C_0805,25.5,-28.95,90.0,top
C9,47uF,C_0805,27.5,-28.95,90.0,top
D1,Green,D_0805,118.75,-66.75,180.0,top
D10,Green,D_0805,118.75,-72.5,180.0,top
D100,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,50.527348,-81.253845,90.0,top
D101,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,50.532017,-84.076572,90.0,top
D102,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,50.758456,-86.793837,100.0,top
D103,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,51.334261,-89.679724,100.0,top
D104,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,51.541329,-92.566499,90.0,top
D105,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,51.212456,-95.392372,80.0,top
D106,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,50.676514,-98.181704,80.0,top
D107,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,50.445085,-101.08066,90.0,top
D108,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,50.630993,-104.168454,100.0,top
D109,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,48.896703,-107.934398,50.0,top
D110,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,51.820155,-108.696689,110.0,top
D111,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,53.678402,-111.285272,140.0,top
D112,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,56.127953,-109.841004,-100.0,top
D113,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,57.202817,-107.009734,-120.0,top
D114,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,58.936349,-104.493173,-130.0,top
D115,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,60.796372,-102.291895,-130.0,top
D116,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,62.574765,-100.154299,-130.0,top
D117,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,64.658874,-98.16798,-140.0,top
D118,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,67.301047,-96.648326,-160.0,top
D119,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,69.968697,-95.914319,-170.0,top
D120,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,72.694175,-95.444175,-170.0,top
D121,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,75.56263,-94.940955,-170.0,top
D122,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,78.672983,-94.659499,180.0,top
D123,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,57.340601,-114.390227,140.0,top
D124,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,60.036826,-115.974504,160.0,top
D125,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,62.339886,-117.937629,120.0,top
D126,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,63.0,-121.1,90.0,top
D127,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,62.0,-124.5,90.0,top
D128,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,64.0,-124.5,90.0,top
D129,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,62.0,-128.0,90.0,top
D130,WS2812B,LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,62.0,-131.0,90.0,top
